Company Name,Market Cap in INR (crore) apr 1 2025,Return on Equity,Return on Assets,Current Ratio,Quick Ratio,Total Revenue Growth (1 Year),Basic EPS,total Asset Turnover
Bajaj Finance Limited (NSEI:BAJFINANCE),"539,671.27",19.11,3.99,2.47,2.39,16.75,26.89,0.09
Bajaj Finserv Ltd. (NSEI:BAJAJFINSV),"308,798.60",15.12,5.05,0.29,0.17,20.62,55.61,0.22
Indian Railway Finance Corporation Limited (NSEI:IRFC),"162,546.08",12.77,1.34,8.53,8.51,1.6,4.98,0.01
Jio Financial Services Limited (NSEI:JIOFIN),"146,389.05",1.23,1.16,15.06,12.6,10.26,2.54,0.02
Bajaj Holdings & Investment Limited (BSE:500490),"132,459.87",9.77,0.48,53.36,53.14,-56.44,585.9,0.01
Cholamandalam Investment and Finance Company Limited (BSE:511243),"123,504.28",19.71,2.38,3.22,3.15,26.35,50.72,0.06
Shriram Finance Limited (BSE:511218),"119,921.48",17.78,3.48,2.51,2.41,15.9,50.82,0.07
Bajaj Housing Finance Limited (NSEI:BAJAJHFL),"101,345.22",13.44,2.34,9.05,9.05,22.73,2.67,0.04
Muthoot Finance Limited (NSEI:MUTHOOTFIN),"93,894.37",19.2,4.67,4.8,4.79,27.62,132.84,0.1
HDFC Asset Management Company Limited (NSEI:HDFCAMC),"85,015.89",32.36,25.26,29.28,29.13,28.35,57.58,0.5
SBI Cards and Payment Services Limited (NSEI:SBICARD),"82,016.48",14.82,3.1,1.42,1.4,-9.65,20.15,0.16
One97 Communications Limited (NSEI:PAYTM),"51,097.80",-4.69,-5.77,2.76,2.26,-30.84,-10.35,0.34
Aditya Birla Capital Limited (NSEI:ABCAPITAL),"47,976.82",11.09,1.32,3.45,3.34,18.01,12.8,0.12
Housing and Urban Development Corporation Limited (NSEI:HUDCO),"41,321.22",15.67,2.44,3.11,3.08,26.25,13.53,0.04
L&T Finance Limited (NSEI:LTF),"37,310.68",10.76,2.37,2.04,1.88,5.43,10.61,0.07
Nippon Life India Asset Management Limited (NSEI:NAM.INDIA),"36,127.27",31.39,23.5,29.31,28.66,23.73,20.33,0.56
Motilal Oswal Financial Services Limited (NSEI:MOTILALOFS),"36,099.67",25.21,7.62,1.18,0.92,16.53,41.83,0.22
360 One Wam Limited (NSEI:360ONE),"34,910.86",19.31,8.32,2.76,0.52,26.08,27.14,0.21
Mahindra & Mahindra Financial Services Limited (NSEI:M&MFIN),"34,118.70",10.88,1.69,3.22,3.11,13.81,18.32,0.06
